iteration,val_loss,learner,runtime,sample_size,hyperparams
10.0,0.445998563824762,rf,0.281268835067749,3132.0,"{'n_estimators': 34, 'max_features': 0.6599465711768816, 'max_leaves': 184}"
9.0,0.45004727601471856,lgbm,0.34230875968933105,3132.0,"{'n_estimators': 79, 'num_leaves': 4, 'min_child_samples': 8, 'learning_rate': 0.2963869736609299, 'log_max_bin': 10, 'colsample_bytree': 0.9026377604690098, 'reg_alpha': 0.0009765625, 'reg_lambda': 5.956628470408563}"
8.0,0.45122519907788955,lgbm,0.6544218063354492,3132.0,"{'n_estimators': 54, 'num_leaves': 13, 'min_child_samples': 9, 'learning_rate': 0.15922418945050276, 'log_max_bin': 10, 'colsample_bytree': 0.8345075630938922, 'reg_alpha': 0.0009765625, 'reg_lambda': 1.6702305601383631}"
7.0,0.4550544988717286,lgbm,0.11327910423278809,3132.0,"{'n_estimators': 21, 'num_leaves': 4, 'min_child_samples': 11, 'learning_rate': 0.38363923015550033, 'log_max_bin': 10, 'colsample_bytree': 0.930646190497405, 'reg_alpha': 0.0009765625, 'reg_lambda': 2.292560666768758}"
6.0,0.47024880422671667,rf,0.19661808013916016,3132.0,"{'n_estimators': 6, 'max_features': 0.7754448469593765, 'max_leaves': 65}"
5.0,0.48411654765461726,rf,0.18988490104675293,3132.0,"{'n_estimators': 7, 'max_features': 0.8399648851658329, 'max_leaves': 24}"
4.0,0.4949088909309351,lgbm,0.06902074813842773,3132.0,"{'n_estimators': 9, 'num_leaves': 4, 'min_child_samples': 9, 'learning_rate': 0.7260594590615893, 'log_max_bin': 9, 'colsample_bytree': 0.9285002286474459, 'reg_alpha': 0.0036840681931986645, 'reg_lambda': 0.7532480505730402}"
3.0,0.6186330153288244,rf,0.1747438907623291,3132.0,"{'n_estimators': 4, 'max_features': 1.0, 'max_leaves': 4}"
2.0,0.6290990697783919,lgbm,0.03953886032104492,3132.0,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 12, 'learning_rate': 0.26770501231052046, 'log_max_bin': 7, 'colsample_bytree': 1.0, 'reg_alpha': 0.001348364934537134, 'reg_lambda': 1.4442580148221913}"
1.0,0.7069394941341476,sgd,0.24436593055725098,3132.0,"{'penalty': 'l2', 'alpha': 0.0001, 'l1_ratio': 0.1500000000000002, 'epsilon': 0.1, 'learning_rate': 'invscaling', 'eta0': 0.010000000000000005, 'power_t': 0.25, 'average': False, 'loss': 'epsilon_insensitive'}"
0.0,0.7881702155986512,lgbm,0.04107809066772461,3132.0,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 20, 'learning_rate': 0.09999999999999995, 'log_max_bin': 8, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 1.0}"
,,unknown,,,{}
